Project_Name,Sample_Name,Sample_ID,Extraction_Date,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,ul extracted DNA in PCR,Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,Total_Reads
"LISSFieldWater","BP1","LISSFieldWaterBP1","2025-03-26","0.0522","RID001516","LISSFieldWaterDNAKatLab","A11","6","1","C12","0.3","GoTaq Polymerase","EMP.v4.SB503","EMP.v4.SB712","","0","yes","SID2513","66310"
"LISSFieldWater","BP2","LISSFieldWaterBP2","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A12","6","1","D12","0.1","GoTaq Polymerase","EMP.v4.SB504","EMP.v4.SB712","","0.12","yes","SID2513","98032"
"LISSFieldWater","BR1","LISSFieldWaterBR1","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A04","6","1","D11","0.1","GoTaq Polymerase","EMP.v4.SB504","EMP.v4.SB711","","0.11","yes","SID2513","91707"
"LISSFieldWater","BR2","LISSFieldWaterBR2","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A05","6","1","E11","0.1","GoTaq Polymerase","EMP.v4.SB505","EMP.v4.SB711","","0","yes","SID2513","20757"
"LISSFieldWater","BR3","LISSFieldWaterBR3","2025-03-26","0.0312","RID001516","LISSFieldWaterDNAKatLab","A06","6","1","F11","0.2","GoTaq Polymerase","EMP.v4.SB506","EMP.v4.SB711","","0","yes","SID2513","91620"
"LISSFieldWater","ST1","LISSFieldWaterST1","2025-03-26","0.496","RID001516","LISSFieldWaterDNAKatLab","A01","6","1","A11","3","GoTaq Polymerase","EMP.v4.SB501","EMP.v4.SB711","","0.6","yes","SID2513","152571"
"LISSFieldWater","ST2","LISSFieldWaterST2","2025-03-26","0.0204","RID001516","LISSFieldWaterDNAKatLab","A02","6","1","B11","0.1","GoTaq Polymerase","EMP.v4.SB502","EMP.v4.SB711","","0.04","yes","SID2513","81758"
"LISSFieldWater","ST3","LISSFieldWaterST3","2025-03-26","0.0508","RID001516","LISSFieldWaterDNAKatLab","A03","6","1","C11","0.3","GoTaq Polymerase","EMP.v4.SB503","EMP.v4.SB711","","0","yes","SID2513","68837"
"LISSFieldWater","WH1","LISSFieldWaterWH1","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A07","6","1","G11","0.1","GoTaq Polymerase","EMP.v4.SB507","EMP.v4.SB711","","0.47","yes","SID2513","3330"
"LISSFieldWater","WH1","LISSFieldWaterWH1","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A07","6","1","G11","0.1","GoTaq Polymerase","EMP.v4.SB507","EMP.v4.SB711","","0.47","yes","SID2515","24047"
"LISSFieldWater","WH2","LISSFieldWaterWH2","2025-03-26","0.086","RID001516","LISSFieldWaterDNAKatLab","A08","6","1","H11","0.5","GoTaq Polymerase","EMP.v4.SB508","EMP.v4.SB711","","3.16","yes","SID2513","123494"
"LISSFieldWater","WH31","LISSFieldWaterWH31","2025-03-26","0.0732","RID001516","LISSFieldWaterDNAKatLab","A09","6","1","A12","0.4","GoTaq Polymerase","EMP.v4.SB501","EMP.v4.SB712","","1.09","yes","SID2513","75018"
"LISSFieldWater","WH32","LISSFieldWaterWH32","2025-03-26","0.01","RID001516","LISSFieldWaterDNAKatLab","A10","6","1","B12","0.1","GoTaq Polymerase","EMP.v4.SB502","EMP.v4.SB712","","1.99","yes","SID2513","83136"
